score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,1minutepay.com,The Most Popular Gift Cards In France,https://1minutepay.com/blog/popular-gift-cards-in-france/,The Most Popular Gift Cards In France,The Most Popular Gift Cards In France · 3. Itunes Gift Card · 4. Netflix Gift Card · 5. Amazon Gift Card · 6. Steam Card Gift card · 6. Neosurf Gift Cards.,"""France"" fashion ""gift card"" official",REJECT,known_reseller_marketplace_editorial_or_irrelevant_domain
100,24hr.gr,"Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","https://www.24hr.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/tv-prepaid-cards/tv-prepaid-cards/netflix-prepaid-gift-card-online-15,00%E2%82%AC/%CE%B1%CF%81%CF%87%CE%AE=312?srsltid=AfmBOooLS5lKrCYe8jRwzluogBXkAm9aAKjlybp_SxCrSkAy_2ZuW6Oj","Netflix Prepaid Gift card online 15,00€ - 24hr.gr το delivery ...","Netflix Prepaid Gift card online 15,00€ Με τη Netflix Prepaid Gift card ... Pet Shop. Για τον σκύλο · Για τη γάτα. Για Παιδιά. Παιχνίδια · Συλλογές Χαρτάκια ...","site:.gr ""pet shop"" ""gift card""",REJECT,reseller_editorial_software_giveaway_or_third_party_brand_signal
100,2gosoftware.eu,Douglas Gift Card - 25 Euro - Germany - 2GO Software,https://2gosoftware.eu/en-gr/douglas-gift-card-25-euro-germany,Douglas Gift Card - 25 Euro - Germany - 2GO Software,"Douglas Gift Card | 25 Euro | Germany · Money back guarantee · 100% legitimate codes · Real-time, digital delivery (by e-mail).","""Germany"" beauty ""gift card"" official",REJECT,known_reseller_marketplace_editorial_or_irrelevant_domain
100,aceb.com,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,https://aceb.com/giftcards/sephora-italy,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,Buy securely with cryptocurrency and receive your digital gift card instantly by email. The Sephora Italy Gift Card is the ideal choice for anyone who loves ...,"""Italy"" beauty ""gift card"" official",REJECT,known_reseller_marketplace_editorial_or_irrelevant_domain
100,alliedmarketresearch.com,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis",https://www.alliedmarketresearch.com/italy-gift-cards-market,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis","For instance in April 16, 2020, Instagram in Italy has now officially announced the addition of its new gift card, food order, and fundraiser tools for stories ...","""Italy"" retail ""gift card"" official",REJECT,known_reseller_marketplace_editorial_or_irrelevant_domain
100,app.talk-home.com,Buy Hotel Gift Cards for Netherlands,https://app.talk-home.com/en/gift-card/netherlands/hotel?srsltid=AfmBOoq1i6Zy2hYHR9Pl7PgXu6McvMFiNitCxUSwm-I_gw6VVuEqO9Q2,Buy Hotel Gift Cards for Netherlands,"Hotel Gift Card. netherlands. Country of use: netherlands. No products. Sorry, we don't have any products available for Hotel Gift Card at this moment. The ...","""Netherlands"" hotel ""gift card"" official",REJECT,unsafe_subdomain_pattern
100,apps.apple.com,Special Gift Cards - App Store,https://apps.apple.com/au/app/special-gift-cards/id1585917288,Special Gift Cards - App Store,"The voucher has proven to be practically unusable, and I will never purchase a this gift card again. ... Malta · Moldova, Republic Of · Montenegro · Nederland ...","""Malta"" retail ""gift card"" official",REJECT,known_reseller_marketplace_editorial_or_irrelevant_domain
100,asdagiftcards.com,Buy Gift Cards and Gift Vouchers - 100+ UK Brands,https://www.asdagiftcards.com/cards?srsltid=AfmBOorFOuVrK9ReoazbXKaFPcdFPKIK1-C1-LLY9DU7dK3VpEPqJosI,Buy Gift Cards and Gift Vouchers - 100+ UK Brands,"No matter the person, we've got the perfect gift card for them. Buy gift ... £20 - £100. Gift Card New Look UK Gift Card£1 - £200. Gift Card Nike UK£15 ...","""UK"" retail ""gift card"" official",REJECT,known_reseller_marketplace_editorial_or_irrelevant_domain
100,athensextremesports.com,Gift Card | athens-extreme-sports | Buy a gift coupon online,https://www.athensextremesports.com/gift-card,Gift Card | athens-extreme-sports | Buy a gift coupon online,Gift Card. €25. Amount. €25. €50. €100. €150. €200. €300 ... Outdoor activities and extreme sports experiences in Greece. contact ...,"""sports"" ""gift card"" Greece",REJECT,reseller_editorial_software_giveaway_or_third_party_brand_signal
100,baxity.com,Buy Gift Cards with Bank in Austria,https://baxity.com/buy-gift-cards-with-bank-in-austria?srsltid=AfmBOoq2HltdNitoxU_9xjwZWwDnhNwPkLsXjVT8R7vX8VofE3NtrNQv,Buy Gift Cards with Bank in Austria,"... Store » Buy Gift Cards with Bank in Austria. Payment methods on Baxity Store ... Payments are verified in real time, meaning your gift card ...","""Austria"" retail ""gift card"" official",REJECT,known_reseller_marketplace_editorial_or_irrelevant_domain
