score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,1minutepay.com,The Most Popular Gift Cards In France,https://1minutepay.com/blog/popular-gift-cards-in-france/,The Most Popular Gift Cards In France,The Most Popular Gift Cards In France · 3. Itunes Gift Card · 4. Netflix Gift Card · 5. Amazon Gift Card · 6. Steam Card Gift card · 6. Neosurf Gift Cards.,"""France"" fashion ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,2gosoftware.eu,Douglas Gift Card - 25 Euro - Germany - 2GO Software,https://2gosoftware.eu/en-gr/douglas-gift-card-25-euro-germany,Douglas Gift Card - 25 Euro - Germany - 2GO Software,"Douglas Gift Card | 25 Euro | Germany · Money back guarantee · 100% legitimate codes · Real-time, digital delivery (by e-mail).","""Germany"" beauty ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,aceb.com,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,https://aceb.com/giftcards/sephora-italy,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,Buy securely with cryptocurrency and receive your digital gift card instantly by email. The Sephora Italy Gift Card is the ideal choice for anyone who loves ...,"""Italy"" beauty ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,alliedmarketresearch.com,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis",https://www.alliedmarketresearch.com/italy-gift-cards-market,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis","For instance in April 16, 2020, Instagram in Italy has now officially announced the addition of its new gift card, food order, and fundraiser tools for stories ...","""Italy"" retail ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,app.talk-home.com,Buy Hotel Gift Cards for Netherlands,https://app.talk-home.com/en/gift-card/netherlands/hotel?srsltid=AfmBOoq1i6Zy2hYHR9Pl7PgXu6McvMFiNitCxUSwm-I_gw6VVuEqO9Q2,Buy Hotel Gift Cards for Netherlands,"Hotel Gift Card. netherlands. Country of use: netherlands. No products. Sorry, we don't have any products available for Hotel Gift Card at this moment. The ...","""Netherlands"" hotel ""gift card"" official",REJECT,editorial_demo_or_app_subdomain
100,apps.apple.com,Special Gift Cards - App Store,https://apps.apple.com/au/app/special-gift-cards/id1585917288,Special Gift Cards - App Store,"The voucher has proven to be practically unusable, and I will never purchase a this gift card again. ... Malta · Moldova, Republic Of · Montenegro · Nederland ...","""Malta"" retail ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,asdagiftcards.com,Buy Gift Cards and Gift Vouchers - 100+ UK Brands,https://www.asdagiftcards.com/cards?srsltid=AfmBOorFOuVrK9ReoazbXKaFPcdFPKIK1-C1-LLY9DU7dK3VpEPqJosI,Buy Gift Cards and Gift Vouchers - 100+ UK Brands,"No matter the person, we've got the perfect gift card for them. Buy gift ... £20 - £100. Gift Card New Look UK Gift Card£1 - £200. Gift Card Nike UK£15 ...","""UK"" retail ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,aura-print.com,Gift Voucher Printing,https://aura-print.com/usa/gift-voucher-printing,Gift Voucher Printing,"With our custom gift vouchers, you have the liberty to design and print vouchers that resonate with your brand's message, ensuring that each voucher you hand ...","""printing"" ""gift voucher"" Greece",REJECT,non_merchant_page_signal
100,baxity.com,Buy Gift Cards with Bank in Austria,https://baxity.com/buy-gift-cards-with-bank-in-austria?srsltid=AfmBOoq2HltdNitoxU_9xjwZWwDnhNwPkLsXjVT8R7vX8VofE3NtrNQv,Buy Gift Cards with Bank in Austria,"... Store » Buy Gift Cards with Bank in Austria. Payment methods on Baxity Store ... Payments are verified in real time, meaning your gift card ...","""Austria"" retail ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,becharge.be,Online sales of gift cards - The pleasure of giving,https://www.becharge.be/be-en/giftcards?srsltid=AfmBOooKsPL4clc_zYLe05QfGMg-kTFAyVLZoEZHoVHw71TbNecR-NWv,Online sales of gift cards - The pleasure of giving,Apple Gift Card beCHARGE Giftcard Bol ... Holland & Barrett Belgium ...,"""Belgium"" retail ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,bitmama.io,Types of Gift Cards in Italy 2023,https://bitmama.io/blog/types-of-gift-cards-in-italy,Types of Gift Cards in Italy 2023,"Conad Gift Card. Conad is one of the biggest grocery stores in Italy – somewhat of a Walmart equivalent in the United States. Therefore, it's ...","""Italy"" retail ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,bitrefill.com,Buy Cosmetics Gift Cards in Greece with Bitcoin or Crypto,https://www.bitrefill.com/gr/en/gift-cards/cosmetics/,Buy Cosmetics Gift Cards in Greece with Bitcoin or Crypto,"Bitrefill (Greece) ... Cosmetics. GR Works in GR. Sort By. Online/In-store ... Some great gift cards that people usually buy are: Douglas gift card, Sephora gift ...","""cosmetics"" ""gift card"" Greece",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,blackhawknetwork.com,Global Hotel Card by Expedia Gift Card,https://blackhawknetwork.com/gift-cards/global-hotel-card-by-expedia-gift-card,Global Hotel Card by Expedia Gift Card,... Germany (German) · Hong Kong (English) · Indonesia (English) · Indonesia ... Hotel Card by Expedia Gift Card. Image. Global Hotel Card Powered by Expedia Gift ...,"""Germany"" hotel ""gift card"" official",REJECT,known_reseller_editorial_marketplace_or_false_positive
100,blog.easytechnology.gr,Steam gift card greece Αρχεία - Blog.EasyTechnology.gr,https://blog.easytechnology.gr/tag/steam-gift-card-greece/,Steam gift card greece Αρχεία - Blog.EasyTechnology.gr,"... gift card greece, Steam redeem Code, steam δωροκαρτα, δωροκαρτα steam, πώς να κατεβάσω το steam στον υπολογιστή, στεαμ dvrokarta. Πάμε στο EasyTechnology.gr ...","""technology"" ""gift card"" Greece",REJECT,editorial_demo_or_app_subdomain
